ID,Name,Age,City,Salary,Purchase_Amount
1,Anthony Richard,60,North Nancyhaven,72433.94,225.72
2,Ricky Terrell,21,North Annette,63660.61,258.19
3,Beth Anderson,55,North Andrewmouth,79081.63,344.1
4,Mrs. Courtney Acosta,49,Lisaborough,49791.99,54.65
5,Kirsten Obrien,55,Julieton,109397.89,61.33
6,Alyssa Terry,40,South Elizabethland,52086.41,388.63
7,Jesse Rodriguez,48,Jonesmouth,107771.46,147.85
8,Caroline Simpson,47,Huffside,117272.87,73.62
9,Amy Drake,25,East Tracyfort,102723.41,267.83
10,Sara Williams,38,Bakerland,97777.29,159.53
11,Elizabeth Gates,63,West Michaeltown,116754.35,155.18
12,Rebecca Melendez,42,Lake Victoriafurt,49985.89,498.29
13,Tyler Thompson,56,South Deborah,53941.15,279.13
14,Bernard Ross,50,West Brittany,67992.41,323.38
15,Nancy Brooks,59,West Spencerland,56484.16,148.65
16,Terry Jones,65,North Aaron,63677.87,183.16
17,Stephanie Rose,64,Lake Kevinville,88253.43,199.78
18,Gabriel Turner,20,Jesseshire,50605.7,215.91
19,James Jackson,42,Port Saratown,82157.15,227.45
20,Joshua Burke,18,Nicoleport,61005.9,448.71
21,Rachel Reynolds,24,New Diane,67335.59,488.26
22,Susan Baldwin,26,Perryborough,112146.94,467.23
23,Regina Durham,18,Sarabury,61442.18,479.78
24,Miranda Patel,33,Foxhaven,86048.33,496.08
25,Brian Morgan MD,49,Maldonadoburgh,46487.46,45.36
26,Nathaniel Mcintosh,38,Kimbury,64668.57,496.44
27,Joshua Martinez,31,Craigland,89315.62,333.37
28,Patricia Jones,24,South John,42188.5,359.13
29,Christina Santiago,39,East Dawnside,57967.89,232.04
30,Ms. Maria Austin,18,Gibsonmouth,108248.01,18.75
31,Anne Nelson,30,Seanborough,77101.26,106.17
32,Christopher Reese,59,Stricklandside,78963.32,483.82
33,Anthony Cooper,32,Jacquelineberg,119132.48,144.94
34,Tiffany Vargas,23,Reedmouth,109207.02,489.23
35,Kelly Perez,22,Johnsonstad,61877.71,135.24
36,Rachel Foster,35,Malloryside,93123.34,239.09
37,Martin Smith,54,North Rebeccafort,103991.41,231.27
38,Michael Garcia,52,East Stephanieshire,67853.35,105.69
39,Bradley Burns,45,Fostermouth,82712.65,274.52
40,Mindy Thornton,30,East Jennifer,110488.07,64.77
41,Joseph Jones,52,Jessebury,31882.8,396.9
42,Sara Williams,46,North Tina,87967.31,472.64
43,Jose Aguirre,57,Davidmouth,58170.39,408.1
44,Anne Cunningham,52,Loriberg,43405.13,429.98
45,Matthew King MD,37,North Danielleborough,109641.12,145.94
46,Cheryl Davis,62,Selenafort,52219.59,102.89
47,Gregory Harris,42,Lake Dawn,32523.61,361.59
48,Joshua Price,50,Kingborough,119191.61,130.13
49,Billy Rogers,20,Lake Janet,77634.8,113.0
50,Denise Walsh,39,South James,107838.39,446.81
51,Danielle Bailey,18,East Jasonville,70832.23,32.85
52,Michael Sanford,40,Lake Jimmychester,50703.59,352.15
53,Doris Morgan,25,Simonside,64029.06,162.2
54,Debra Robertson,20,North Margaretview,68501.06,191.64
55,Taylor Ballard,18,New Travisport,114060.02,255.78
56,Alyssa Moore,41,New Frankstad,61380.26,292.4
57,Jonathan Trevino,29,Fergusonfort,63943.18,320.97
58,Jessica Petersen,38,Cantrelltown,40156.46,277.09
59,Ronald Wallace,51,East Leslieton,98185.52,169.33
60,Julie Frederick,41,Frederickville,92863.69,255.43
61,Lori Griffith MD,58,West Sara,40088.4,312.52
62,Laura Skinner,26,North Christopherside,60811.57,259.03
63,Gary Mcgee,52,Brownmouth,118137.03,419.21
64,John Carney,55,Greenmouth,106637.14,486.89
65,Colleen Wong,21,North Saramouth,105592.37,426.67
66,Jessica Walton,43,West Williamton,41459.95,229.05
67,Joanne Jones,63,Kellyside,110081.41,422.43
68,Anthony May,22,Leahport,86871.91,36.63
69,Jacob Cox,52,East Sandrabury,93220.46,177.6
70,Matthew Murphy,57,North Mariomouth,77836.58,346.83
71,Samuel Mccullough,26,West Catherineside,101116.79,437.23
72,Lisa Anderson,39,Gregoryburgh,81198.58,112.36
73,Wayne Pearson,39,Rogersberg,91364.21,246.1
74,Tyler Rogers,19,Darrellton,31085.78,51.49
75,Heather Nunez,44,Christopherside,92314.45,79.47
76,Allison Kelley,59,Roberthaven,31712.87,291.57
77,Perry Baker,44,Myerschester,50745.39,403.87
78,Annette Smith,19,Lambertfort,106555.04,220.23
79,Jennifer Meza,41,Barajasborough,36149.38,30.15
80,Dawn Mccoy,47,North Tracy,40158.79,339.08
81,Joshua Harrell,64,North Micheleberg,116163.68,141.55
82,Kevin Ruiz,28,Greenechester,109102.15,256.93
83,James Edwards,40,Port Lukemouth,99818.52,142.6
84,Sylvia Cunningham,45,East Nathaniel,87634.15,279.41
85,Sarah Russell,63,Myersfort,74364.0,448.43
86,Julie Houston,50,Port Cherylfort,105829.96,281.8
87,Austin Cross,26,South Lisaville,62084.21,464.2
88,Michele Martin,39,Myersside,73937.87,106.85
89,Joseph Hernandez,42,Walltown,68586.26,274.83
90,Scott Delgado,39,Joshuaton,93573.13,100.48
91,Brooke Harris,64,Orozcofort,46340.73,337.1
92,Angelica Hernandez,26,Nicholaschester,59329.29,478.7
93,Jennifer Bryant DVM,52,Port Cynthiabury,97263.99,142.18
94,Brandi Perkins,52,Leechester,80476.26,190.65
95,Jessica Wilson,40,New Connieland,34061.23,126.33
96,Laura Lewis,24,West Lisa,92428.5,268.0
97,Keith Cook,64,Galvanfort,68097.32,404.56
98,Deborah Blair,57,West Garytown,41538.17,184.87
99,Mary Clark,44,Jessicashire,70312.43,403.7
100,Jeff Adams,44,Middletonport,100035.78,358.9
101,Adam Warren Jr.,50,Patrickmouth,110987.26,453.55
102,Brendan Beltran Jr.,43,West Emilyfurt,47078.29,439.6
103,Brian Parker,25,New Brandon,100802.61,430.23
104,William Figueroa,53,Rojasburgh,101970.95,251.22
105,Willie Turner,53,Zacharyfort,70791.11,317.39
106,Erin Marshall,46,Millerstad,51686.65,455.32
107,Lori Mills,48,Martinezborough,53405.59,440.98
108,James Gonzalez,23,Frederickfurt,91663.5,61.41
109,Samantha Thomas,21,East Kristen,77588.41,474.96
110,Karen Mcguire,51,Port Michael,91531.32,451.83
111,Erik Frank,55,Briggston,98377.98,487.37
112,Mary Underwood,48,Alexanderland,73264.39,344.94
113,Kathy Estrada,26,Arroyoshire,118077.57,62.4
114,Christina Ford,34,Jensenmouth,76202.26,113.75
115,Sherri Martin,54,East Caitlin,37623.89,405.06
116,Travis Hawkins,29,Brittanyborough,96235.13,495.12
117,Timothy Little,58,Lake Cynthia,62357.7,431.53
118,John Miller,41,East Kristinbury,100935.77,48.99
119,David Rasmussen,58,Port Dorothy,39973.59,141.89
120,Frank Petty,54,West Edwin,90955.08,238.66
121,Christopher Gray,25,Sarahton,103097.56,420.68
122,Michael King,21,Port Christopher,87901.11,176.23
123,Shelly Turner,45,North Anneshire,40617.07,61.59
124,Lindsay Lawson,37,Kellymouth,95353.13,123.31
125,Michael Jones,49,Lake Anthony,96674.34,83.75
126,William Smith,48,East Victoria,94675.37,314.34
127,Jacob Bailey,22,Nguyenmouth,109274.8,420.21
128,Melissa Koch,40,Sabrinachester,42803.68,465.69
129,Denise White,51,Thomashaven,44544.07,394.75
130,Alexander Hawkins,60,Melissaborough,36224.59,394.22
131,Brian Robinson,45,Vincentville,86842.41,261.97
132,Heidi Gonzalez,27,North Kyle,102186.5,378.46
133,Caitlyn Lin,28,Williamschester,57509.43,28.13
134,Martin Todd,23,North George,58323.84,66.32
135,Diana Jefferson,39,Dariusmouth,53808.61,188.98
136,Steven Moreno,18,Mccormickhaven,53972.54,114.46
137,Marissa Hernandez,60,Justinchester,59779.62,312.16
138,Travis Carlson,59,West Tamaramouth,46826.8,29.78
139,Anthony Meyer,63,Maryton,31090.19,265.5
140,Tiffany Massey,54,North Spencerborough,46114.13,78.57
141,Michael White,62,East Mitchellton,56284.55,115.72
142,Eric Smith,36,East Diane,93548.58,374.21
143,Amy Hall,21,South Jeffreyville,107024.61,354.85
144,David Moore,57,North Sabrina,42652.07,160.35
145,Brian Vasquez,62,Carolineview,73726.27,221.55
146,Michele Harris,51,Lake Michaelshire,63356.46,401.44
147,Sara Wong,62,North Jerry,83607.56,281.63
148,Laura Wade,42,Port Evanfort,101838.44,29.8
149,Andrew Jones,45,New Yvette,33899.15,398.87
150,Belinda Turner,32,Pottsfort,46361.04,314.14
151,Marcus Combs,18,Jennyfort,75495.05,447.52
152,John Gray,29,Lake Ronnie,76594.85,121.57
153,James Gordon,29,Colebury,78628.71,205.29
154,Nathan Brown,42,Singletonberg,106831.63,133.37
155,Cristina Dorsey MD,34,South Marissaville,47189.9,431.6
156,Christopher Pratt,45,Dennishaven,82973.26,431.58
157,Jack Jones,37,Devinbury,46856.11,243.21
158,Terrence Mcmillan,22,Robertmouth,54759.78,270.44
159,Eric White,18,Hendersonbury,115764.43,293.17
160,Timothy Jones DVM,51,Port Ashleyberg,99134.1,253.47
161,Heather Mendez,65,New Henry,67811.49,127.78
162,Ronald Tran,33,Port Juanside,54178.9,355.12
163,Robert Norton,62,Patriciaside,110889.55,290.67
164,Kristen Cabrera,60,West Laurie,118079.08,320.29
165,Sierra Burgess,61,Port Tony,100125.54,38.51
166,Kimberly Adams,30,South Judithbury,68432.0,22.61
167,Susan Edwards,19,North Thomasfort,41967.22,33.57
168,Jennifer Meyer,33,South Kimberly,45781.9,370.22
169,Michael Miller,62,Leslieburgh,84355.88,236.35
170,Carl Obrien,63,Floresbury,34279.1,106.4
171,Erika Jefferson,46,South Kevin,73615.3,307.85
172,Derrick Nash,63,Oconnellmouth,88161.22,363.0
173,Aaron Rollins,28,South Ashley,61235.08,432.28
174,Jordan Gill,40,Batesside,103323.83,94.4
175,Antonio Berry,58,Joneshaven,95690.16,462.28
176,William Ross,22,New Kennethbury,33051.91,171.39
177,Christina Morgan,42,Tracytown,98170.03,420.0
178,Dr. Melissa Bell,24,East Amy,116126.63,487.56
179,Jillian Caldwell,39,North Kennethstad,51140.85,301.11
180,Latoya Craig,48,Hughestown,81773.89,299.71
181,Erin Johnson,35,Melissaburgh,62844.24,219.83
182,Donald Quinn,63,West Kristentown,72780.24,409.63
183,Hannah Green,18,West Alanport,102481.63,149.24
184,Linda Flores,51,Port Johnfort,45396.74,179.36
185,Martin Short,38,Patriciaton,63316.38,232.27
186,Peter Byrd,37,Schultzmouth,117175.84,155.49
187,Patrick Taylor,58,Lake Nancy,115943.2,242.84
188,Justin Mendoza,64,Catherineview,35417.97,228.29
189,Shannon Hernandez,35,South Michael,104729.4,486.88
190,Mrs. Michelle Mercer,39,Tatehaven,44684.75,96.26
191,Adrian Russell,28,Richardhaven,62067.88,388.89
192,Lisa Nichols,48,Douglasbury,108188.47,75.99
193,Gary Pierce,35,Lake Randall,57940.85,70.91
194,Michael Bradford,48,East Megan,66623.83,371.88
195,Luis Wang,42,Williamsview,86436.7,83.95
196,Charles Burton,20,Pierceton,41013.2,422.15
197,Donald Fleming,36,Kellyberg,94432.54,265.9
198,Betty Hamilton,58,Heathertown,116297.22,203.35
199,Michael Williams,26,Watsonview,99227.06,13.03
200,Melanie Taylor,25,East Danielstad,85683.39,337.9
201,Lindsey Smith,29,Lake Jodychester,111839.63,363.28
202,Julia Dalton,47,West Amberchester,81292.49,349.17
203,Dennis Bruce,33,Port Allisonmouth,33600.51,140.39
204,John Smith,34,West Patricia,34047.48,148.4
205,Amy Bishop,53,Kathleenport,78315.17,37.19
206,Mr. Randall Lopez MD,44,Port Alexander,61627.9,279.26
207,Taylor Clark,51,North Hannah,54109.62,313.35
208,Lisa Russell,50,South Paulafort,44272.17,205.15
209,Sarah Bass,37,North Malloryside,30012.2,491.92
210,Ethan Stark,31,Natashaland,85432.14,315.22
211,Shelley Taylor,35,North Adam,119315.19,94.02
212,Victor Dodson,44,East Jacob,33155.59,244.83
213,Margaret Stuart,34,East Melindaport,84669.52,335.46
214,Stephanie Golden,37,Salinaschester,32370.98,355.15
215,Jennifer Mcclure,56,Lake Julie,72128.44,212.31
216,Casey Pennington,47,Christinamouth,115692.97,172.58
217,Jennifer Gomez,29,Anthonymouth,63289.89,219.14
218,Michael Martinez,55,Christineville,61208.09,424.46
219,Olivia Wright,53,Medinaview,64692.57,146.89
220,Charles Gray,49,Lake Kimberly,109295.35,14.71
221,Megan Rocha MD,21,South Nicholas,102515.14,490.09
222,Stacy Cruz,23,Guyburgh,73262.98,404.95
223,Gina Ayers,40,Fostermouth,65598.72,452.62
224,Jerry Curry,44,South Linda,49825.66,302.3
225,Robert Walter,57,East Rose,40662.13,273.13
226,Andrea Oneill,32,Leefort,103679.23,456.3
227,Angel Foster,52,West Reneeland,113976.07,367.18
228,David Lawson,44,Estradastad,55035.85,44.17
229,Christopher Owen,43,Andresport,69987.47,444.17
230,Linda Castillo,25,Michaeltown,110229.41,251.47
231,Kevin Bryant,52,Laurenbury,32462.32,372.4
232,David Bell,36,North Douglasborough,79042.84,235.53
233,Jessica Pineda,50,Fletcherport,97786.83,292.13
234,Kelly Howard,52,Peggyville,61791.37,446.99
235,Deanna Cruz,26,New Krystalview,83214.84,280.51
236,Jennifer Cummings,21,West Kennethhaven,97849.51,435.75
237,James Patrick,54,Fisherstad,74660.05,496.32
238,Jamie Franco,58,Port Paul,55029.72,333.21
239,Blake Swanson,49,Henrybury,63612.67,128.67
240,Denise Adkins,26,East Sherry,40738.41,63.37
241,Mike Smith,53,Port Sandrabury,91555.31,34.42
242,Tim Collins,28,Boylemouth,107825.18,239.01
243,Larry Mcbride MD,18,Dominguezside,93852.75,358.69
244,Nicholas Anderson,64,East Danielshire,99924.59,195.03
245,Jonathan Howell,58,West Richard,49641.01,454.03
246,Michael Hayes,49,Gonzalesfurt,36314.85,391.44
247,Daniel Ortiz,32,Lake Nicole,115618.89,210.0
248,Gregory Jensen,40,West Monicamouth,114324.86,458.67
249,Anthony Lopez,25,Pamelabury,32947.12,146.56
250,David Castro,30,South Nicole,48051.67,387.63
251,Jessica Chang,25,Hughesberg,50885.67,324.05
252,William Woods,47,West Ericaland,31630.97,181.91
253,Teresa Bailey,25,Sanchezbury,110373.98,238.15
254,Paul Reed,51,Port Jennifer,48976.36,165.82
255,Justin Rios,64,Jamesside,94090.42,476.38
256,Lawrence Lopez,18,Johnsonfurt,113728.58,66.48
257,Todd Melendez MD,60,West Danielmouth,49106.51,75.18
258,Jordan Davies,44,New Keith,31516.19,400.35
259,Kathleen Choi,32,Schultzbury,35855.7,166.19
260,John Lyons,61,Michaelton,63346.89,86.26
261,Christopher Johnson,20,North William,119618.19,177.57
262,Fernando Bruce,21,South Marie,30941.38,10.06
263,William Smith,27,Piercehaven,41971.85,476.45
264,Sandy Sawyer,26,West Sherylhaven,56929.28,205.91
265,Eric Scott,23,Hamptonmouth,76774.36,54.18
266,Bonnie Rogers,41,Thomastown,33363.36,386.25
267,Ronald Page,64,Lake Randallborough,73780.42,199.14
268,Michele Huerta,33,Loweton,65021.34,441.19
269,Mrs. Kendra Rice PhD,60,Bryantberg,53632.05,149.13
270,Andrew Padilla,38,East Timothy,97440.19,241.44
271,Amanda Gonzales,25,Lake Traceyhaven,98796.07,163.92
272,Mark Berry,23,Haleyshire,86919.7,125.93
273,Michael Harris,32,East Christopher,56423.29,284.82
274,Veronica Ferguson,30,Jordanborough,113035.54,73.97
275,Brandon David,38,Davischester,102668.9,93.69
276,Michele Barr,41,Katherinebury,80552.58,57.53
277,Michael Johnson,53,Holderstad,51519.68,173.61
278,Maria Klein,24,South Darleneton,46445.58,12.1
279,Theresa Simmons,28,Nielsenbury,69592.18,177.52
280,Jennifer Murphy,22,Cherylburgh,100982.66,477.16
281,Derrick Roberts,19,Deannamouth,97040.18,370.58
282,Juan Smith,53,Michelleborough,100620.26,80.5
283,Douglas Taylor,51,Jonathanmouth,86603.13,424.24
284,Patricia Brown,47,Port Philipfurt,46463.89,175.74
285,Sherri Gray,27,New Davidside,51992.19,165.83
286,Kimberly Boyle,33,Anthonyton,100128.67,159.14
287,Nicholas Neal,48,South Mistybury,40117.5,160.75
288,Matthew Silva,22,Woodwardton,104820.56,138.24
289,Daniel Sanders,56,New Rebeccaside,31161.71,459.2
290,Janice Clark,39,Riceville,50915.12,378.08
291,Gabrielle Hughes,39,Millershire,113623.5,24.98
292,Emily Strong,20,Christophermouth,109402.9,280.46
293,Donna Avila,54,Torresfurt,43509.54,294.5
294,Jean Barrett,33,Port Melaniefurt,75581.24,37.2
295,Kimberly Floyd,23,Lake Gregory,86795.24,172.03
296,Sarah Johnson,22,Gonzalesport,103574.53,142.47
297,Cassandra Frazier,32,Joneschester,36492.77,167.98
298,Frank Knight,39,North Andrew,77789.61,279.77
299,Kenneth Gardner,28,South Ian,56464.3,80.32
300,Scott Adkins,25,West Steven,34544.16,463.68
301,Connor Martin,53,Villarrealmouth,102126.37,166.71
302,Cassandra Williams,35,West Ronnie,32964.91,100.82
303,Caitlin Rodriguez,32,Allisonfort,36616.49,161.81
304,Jeffrey Porter,41,Patricialand,52725.87,225.46
305,Wayne King,62,East Brittany,73342.46,111.39
306,William West,56,Rhondaland,115726.69,304.98
307,Paul Barnes,45,Port Jenniferhaven,66996.07,165.2
308,Jeffrey Campbell,55,South Andrea,50604.03,252.3
309,Tyler Herrera,29,West Samuel,40056.57,385.4
310,Rebekah Glover,19,Darlenefort,104651.83,461.05
311,Edward Byrd,41,Lake Breanna,53101.64,316.07
312,Daniel Wiley,40,West Danielleland,60910.42,340.19
313,Sierra Diaz,61,New Kristen,38676.47,35.45
314,Amy Hernandez,64,South Edward,88172.02,51.3
315,Jose Krueger,63,Bennettland,107122.44,50.3
316,David Casey,55,Michaelland,105455.5,83.32
317,Holly Nguyen,62,Johnland,63947.11,489.01
318,Jo Smith,37,Lake Carlside,36280.02,191.85
319,Brian Moore,32,New Dorothy,104016.62,474.35
320,Michael Campbell,64,Leeberg,96515.18,114.46
321,Mary Pineda,56,West Danielle,89204.65,234.99
322,Holly Glass,42,South Karen,33835.81,136.96
323,Brenda Gibson,33,New Lisatown,48630.79,47.43
324,Karen Herrera,49,Granttown,84250.21,280.55
325,Karen Olson,28,East Paulberg,50543.61,38.02
326,Sherry Rogers,38,Jamiefort,78105.89,150.79
327,Andrew Olsen,26,Hesterberg,102117.54,461.98
328,Samantha Patel,45,Lake Brian,95763.13,137.84
329,Angela Hall,58,Millerborough,31462.86,491.42
330,Denise Alvarado,58,Sarahport,76810.82,301.64
331,Jacob Gray,61,South Antonioville,118683.9,482.64
332,Joseph Herrera,28,New Stevenview,43628.09,49.67
333,Bradley Gallagher,27,West Christopher,103573.78,405.55
334,Joseph Ward,19,Lake Michael,62272.64,232.42
335,Troy Lee,21,Port Anthony,35554.76,411.98
336,Michael Mcguire,45,East Colemouth,76876.25,416.89
